股票代码	上市公司名称	主营业务利润率	投资收益比率	净资产收益率	每股净利润	应收账款周转率	存货周转率	总资产周转率	流动比率	资产负债率	流动负债比率	净资产比率	每股净资产	主营业务收入增长率	净资产增长率	总资产增长率	股票价格
600624	复旦复华	25.98	12.53	4.25	-0.06	-0.89	0.77	0.25	1.27	52.14	102.65	45.31	1.4	-12.12	-1.83	-2.96	9.65
600639	浦东金桥	25.98	12.53	4.25	0.12	14.057	0.77	0.25	1.73	52.14	102.65	61.12	2.34	36.24	9.13	10.06	10.25
000540	世纪中天	25.98	12.53	4.25	-0.06	8.63	0.77	0.25	1.27	66.35	92.89	45.31	1.4	-12.12	3.65	10.06	10.32
000628	倍特高新	25.98	-3.98	-1.57	-0.06	8.63	0.77	0.25	1.27	66.35	92.89	29.5	2.34	-12.12	-1.83	10.06	7.39
600330	天通股份	25.98	4.12	10.07	0.3	-0.89	4.05	0.53	1.27	37.93	102.65	61.12	2.34	12.06	3.65	10.06	11.73
000585	ST东北电	25.98	12.53	10.07	0.12	-0.89	0.77	0.25	0.81	66.35	83.14	29.5	1.4	-12.12	9.13	-2.96	4.59
000400	许继电气	25.98	4.12	10.07	0.3	-0.89	4.05	0.53	1.73	37.93	102.65	61.12	3.29	12.06	9.13	10.06	8.61
600765	力源液压	25.98	4.12	-1.57	-0.06	-0.89	0.77	0.25	1.73	37.93	83.14	61.12	1.4	12.06	-1.83	10.06	9.74
600298	安琪酵母	25.98	12.53	4.25	0.3	8.63	0.77	0.53	1.73	37.93	83.14	61.12	3.29	12.06	3.65	10.06	12.97
600737	新疆屯河	25.98	12.53	10.07	0.12	8.63	0.77	0.25	0.81	66.35	92.89	29.5	1.4	36.24	9.13	23.08	19.19
000693	聚友网络	25.98	4.12	4.25	0.12	8.63	7.33	0.25	0.81	52.14	83.14	29.5	3.29	36.24	3.65	10.06	14.02
000004	北大高科	25.98	-3.98	4.25	0.12	-0.89	4.05	0.53	1.73	52.14	92.89	29.5	1.4	36.24	3.65	23.08	14.58
000606	青海明胶	25.98	-3.98	4.25	0.12	-0.89	0.77	0.25	1.73	52.14	83.14	45.31	2.34	12.06	3.65	23.08	12.18
000069	华侨城Ａ	25.98	12.53	10.07	0.3	14.057	7.33	0.25	0.81	37.93	102.65	45.31	2.34	36.24	9.13	23.08	15.02
600247	物华股份	25.98	-3.98	4.25	0.12	14.057	0.77	0.25	1.27	37.93	83.14	61.12	3.29	36.24	3.65	23.08	12.49
600538	北海国发	25.98	-3.98	10.07	0.3	8.63	0.77	0.53	1.27	37.93	102.65	61.12	2.34	12.06	9.13	10.06	10.89
